,代码,名称,涨跌幅,最新价,涨跌额,市盈率-动态,总市值,流通市值,年初至今涨跌幅
328,600025,华能水电,2.11,9.66,0.2,19.45,173880000000.0,173880000000.0,11.94
331,688789,宏华数科,2.1,114.1,2.35,41.26,13741877218.0,8091617263.0,14.2
337,600350,山东高速,2.03,8.54,0.17,12.0,41336995735.0,41336995735.0,23.05
338,300364,中文在线,2.03,27.15,0.54,6100.0,19817860629.0,17913451843.0,5.52
339,600843,上工申贝,2.03,6.04,0.12,34.58,4307525539.0,2834105289.0,5.59
340,600578,京能电力,2.02,3.53,0.07,21.39,23632012183.0,23632012183.0,19.26
341,600710,苏美达,2.02,8.58,0.17,10.9,11211910144.0,11211910144.0,21.02
344,3015,日久光电,2.01,12.17,0.24,705.08,3420581337.0,2991506775.0,3.49
355,600251,冠农股份,1.95,8.88,0.17,9.66,6899703017.0,6899703017.0,2.19
358,300502,新易盛,1.95,69.09,1.32,71.02,49048305506.0,42671219191.0,40.09
362,300729,乐歌股份,1.92,20.13,0.38,9.13,6292773676.0,5939832112.0,12.4
363,600395,盘江股份,1.91,6.41,0.12,13.35,13759865571.0,13759865571.0,3.89
365,300137,先河环保,1.9,5.89,0.11,71.87,3160469217.0,2809615105.0,5.94
369,600236,桂冠电力,1.88,5.96,0.11,30.99,46978971700.0,46978971700.0,7.58
371,600560,金自天正,1.85,16.53,0.3,70.41,3696860115.0,3696860115.0,11.69
374,601101,昊华能源,1.84,7.74,0.14,8.27,11145583947.0,11145583947.0,22.47
380,875,吉电股份,1.81,4.5,0.08,8.67,12555936783.0,11005234727.0,2.27
388,601238,广汽集团,1.72,8.85,0.15,20.96,92809102683.0,65155785087.0,1.14
389,600660,福耀玻璃,1.72,44.9,0.76,20.82,117177484587.0,89934086307.0,20.09
393,2627,三峡旅游,1.71,5.36,0.09,28.42,3956473907.0,3738348696.0,0.37
396,600031,三一重工,1.69,15.08,0.25,23.71,127964962774.0,127640374822.0,9.51
397,603338,浙江鼎力,1.68,61.62,1.02,18.09,31201156304.0,31201156304.0,20.42
399,601179,中国西电,1.66,5.5,0.09,40.61,28192352936.0,28192352936.0,11.56
407,600312,平高电气,1.57,14.19,0.22,26.14,19254713375.0,19254713375.0,11.82
408,603195,公牛集团,1.57,106.9,1.65,25.41,95305719538.0,94925239347.0,11.76
411,601799,星宇股份,1.55,141.2,2.16,36.6,40337933963.0,40337933963.0,7.7
412,2270,华明装备,1.54,18.45,0.28,27.0,16535359202.0,14007696970.0,30.67
414,601009,南京银行,1.54,9.24,0.14,4.69,95576102336.0,85124661995.0,25.2
416,888,峨眉山Ａ,1.53,10.6,0.16,24.54,5585278881.0,5585278881.0,18.7
419,975,银泰黄金,1.52,18.74,0.28,36.53,52035775246.0,46597649334.0,24.93
421,600257,大湖股份,1.52,8.04,0.12,1236.62,3869146992.0,3869146992.0,30.31
427,601298,青岛港,1.46,7.66,0.11,10.1,49721826000.0,41303294500.0,23.95
426,603009,北特科技,1.46,15.24,0.22,107.47,5467046556.0,5157352703.0,2.76
428,600276,恒瑞医药,1.43,45.4,0.64,62.53,289606703240.0,289389042564.0,0.38
430,600901,江苏金租,1.41,5.03,0.07,7.86,21378398564.0,21312673083.0,3.93
431,603619,中曼石油,1.41,28.77,0.4,12.51,11508002877.0,11478294975.0,55.35
432,600822,上海物贸,1.4,10.17,0.14,29.38,5044044535.0,4028824224.0,0.39
437,600724,宁波富达,1.38,4.41,0.06,27.69,6373513123.0,6372197148.0,11.08
438,554,泰山石油,1.38,5.88,0.08,90.64,2827064710.0,2132368388.0,1.91
446,2463,沪电股份,1.35,30.02,0.4,37.95,57398218085.0,57362149626.0,35.71
449,921,海信家电,1.34,32.6,0.43,15.95,45246693062.0,29432303379.0,59.8
452,2590,万安科技,1.33,12.98,0.17,22.94,6225817099.0,5913086234.0,14.16
450,2967,广电计量,1.33,15.97,0.21,46.07,9186356761.0,8088259481.0,6.4
453,601991,大唐发电,1.32,3.07,0.04,41.62,56815601247.0,38055993555.0,26.86
454,601126,四方股份,1.32,15.37,0.2,20.39,12791697870.0,12498453640.0,8.55
455,601398,工商银行,1.31,5.4,0.07,5.29,1924593788281.0,1455905947711.0,12.97
463,600863,内蒙华电,1.28,4.74,0.06,10.64,30937448224.0,30937448224.0,21.54
465,601333,广深铁路,1.26,3.21,0.04,21.49,22738153770.0,18143680770.0,23.94
468,300881,盛德鑫泰,1.25,26.65,0.33,25.64,2931500000.0,1529876563.0,4.18
469,601611,中国核建,1.25,7.27,0.09,11.66,21943183979.0,21247636515.0,4.91
473,2444,巨星科技,1.24,27.03,0.33,16.19,32503628844.0,31117789824.0,20.03
475,603360,百傲化学,1.22,14.88,0.18,14.21,5361534682.0,5325791136.0,40.78
476,2333,罗普斯金,1.22,6.63,0.08,64.12,4474751424.0,3331993353.0,1.53
478,682,东方电子,1.21,9.2,0.11,26.85,12334688464.0,12333456695.0,14.29
477,2984,森麒麟,1.21,31.72,0.38,17.12,23434014465.0,15953839528.0,9.95
484,600368,五洲交通,1.19,4.26,0.05,7.98,5274711872.0,5274711872.0,7.85
483,550,江铃汽车,1.19,29.76,0.35,17.41,25689248640.0,15429463642.0,56.38
485,688617,惠泰医疗,1.18,437.12,5.1,54.74,29226436372.0,29226436372.0,12.51
489,2027,分众传媒,1.17,6.92,0.08,20.81,99940022104.0,99940022104.0,9.49
490,601288,农业银行,1.17,4.34,0.05,5.64,1518926367009.0,1385519874772.0,19.23
491,977,浪潮信息,1.14,39.8,0.45,55.86,58590977856.0,58501513983.0,19.88
495,600452,涪陵电力,1.13,13.43,0.15,24.76,14739824583.0,14739824583.0,1.74
496,2608,江苏国信,1.13,8.06,0.09,16.28,30451322414.0,30451322414.0,22.68
497,601107,四川成渝,1.13,5.38,0.06,13.86,16452362800.0,11635541200.0,22.55
499,601988,中国银行,1.12,4.53,0.05,5.75,1333576694322.0,954767782252.0,13.53
502,600362,江西铜业,1.11,25.6,0.28,13.63,88645872768.0,53126333568.0,43.34
500,600642,申能股份,1.11,8.17,0.09,11.98,39986696737.0,39746545797.0,27.26
504,688188,柏楚电子,1.09,290.82,3.14,58.55,42678397446.0,42678397446.0,14.9
508,1965,招商公路,1.06,11.4,0.12,11.49,77751846292.0,77751846292.0,16.68
510,600406,国电南瑞,1.06,23.87,0.25,34.56,191743510742.0,190589650123.0,6.94
511,600782,新钢股份,1.06,3.82,0.04,18.91,12016391209.0,12016391209.0,9.46
514,300654,世纪天鸿,1.06,11.48,0.12,98.67,4177149605.0,3696899842.0,1.77
516,300476,胜宏科技,1.04,24.19,0.25,26.72,20868438226.0,20687498767.0,31.11
517,601595,上海电影,1.04,28.21,0.29,101.98,12643722000.0,12643722000.0,9.21
518,300620,光库科技,1.02,46.45,0.47,194.57,11603181433.0,11263663984.0,2.54
519,601577,长沙银行,1.01,7.97,0.08,4.29,32051783419.0,32044154814.0,16.86
